column_0,column_1,town_name,state,latitude,longitude
1550,4266,North Turner,ME,44.35799,-70.25578
1551,4267,North Waterford,ME,44.56616,-70.66156
1552,4268,Norway,ME,44.22359,-70.58366
1553,4270,Oxford,ME,44.11461,-70.50506
1554,4271,Paris,ME,44.26411,-70.49851
1555,4273,Hanover,ME,44.49819,-70.69702
1556,4274,Poland,ME,44.04916,-70.39077
1557,4275,Roxbury,ME,44.72707,-70.6478
1558,4276,Rumford,ME,44.53599,-70.56609
1559,4278,Rumford Center,ME,44.37703,-70.56804
1560,4279,Rumford,ME,44.56421,-70.71586
1561,4280,Sabattus,ME,44.11901,-70.07568
1562,4281,South Paris,ME,44.23514,-70.50508
1563,4282,Turner,ME,44.26684,-70.24563
1564,4283,Turner Center,ME,44.19701,-70.23949
1565,4284,Wayne,ME,44.34954,-70.05698
1566,4285,Weld,ME,44.69708,-70.43275
1567,4286,West Bethel,ME,44.40205,-70.86009
1568,4287,Bowdoin,ME,44.04815,-69.96847
1569,4288,West Minot,ME,44.19701,-70.23949
1570,4289,West Paris,ME,44.32529,-70.52451
1571,4290,Peru,ME,44.49462,-70.43726
1572,4291,West Poland,ME,44.04086,-70.45301
1573,4292,Sumner,ME,44.38382,-70.43533
1574,4294,Wilton,ME,44.60226,-70.22906
1575,4321,Stoneham,ME,44.20921,-70.81804
1576,4327,Richmond,ME,44.09156,-69.80408
1577,4330,Augusta,ME,44.34441,-69.76345
1578,4332,Augusta,ME,44.41406,-69.75191
1579,4333,Augusta,ME,44.41406,-69.75191
1580,4336,Augusta,ME,44.31569,-69.81801
1581,4338,Augusta,ME,44.41406,-69.75191
1582,4341,Coopers Mills,ME,44.25877,-69.55102
2083,5474,North Hero,VT,44.8311,-73.27354
2084,5476,Richford,VT,44.97042,-72.66316
2085,5477,Richmond,VT,44.39244,-72.95936
2086,5478,Saint Albans,VT,44.80756,-73.09077
2087,5479,Saint Albans,VT,44.82485,-72.89585
2088,5481,Saint Albans Bay,VT,44.82485,-72.89585
2089,5482,Shelburne,VT,44.38856,-73.22318
2090,5483,Sheldon,VT,44.88412,-72.9751
2091,5485,Sheldon Springs,VT,44.90557,-72.96315
2092,5486,South Hero,VT,44.64519,-73.31452
2093,5487,Starksboro,VT,44.2241,-73.03164
2094,5488,Swanton,VT,44.93016,-73.12099
2095,5489,Underhill,VT,44.54654,-72.92649
2096,5490,Underhill Center,VT,44.50466,-72.88525
2097,5491,Vergennes,VT,44.12753,-73.28437
2098,5492,Waterville,VT,44.70847,-72.7585
2099,5494,Westford,VT,44.60828,-73.00979
2100,5495,Williston,VT,44.44524,-73.09917
2101,5501,Andover,MA,42.64719,-71.1842
2102,5544,Andover,MA,42.64719,-71.1842
2103,5601,Montpelier,VT,44.19906,-72.55964
2104,5602,Montpelier,VT,44.26563,-72.59686
2105,5603,Montpelier,VT,44.15655,-72.65589
2106,5604,Montpelier,VT,44.25952,-72.58502
2107,5609,Montpelier,VT,44.25952,-72.58502
2108,5620,Montpelier,VT,44.25952,-72.58502
2109,5626,Waterbury,VT,44.35234,-72.77961
2110,5633,Montpelier,VT,44.25952,-72.58502
2111,5640,Adamant,VT,44.3543,-72.49053
2112,5641,Barre,VT,44.19431,-72.49443
2113,5647,Cabot,VT,44.41458,-72.28652
2114,5648,Calais,VT,44.37573,-72.49509
2115,5649,East Barre,VT,44.15248,-72.43328
2116,5650,East Calais,VT,44.4039,-72.44328
2117,5651,East Montpelier,VT,44.28227,-72.48983
2118,5652,Eden,VT,44.71508,-72.5717
2119,5653,Eden Mills,VT,44.71108,-72.50846
2120,5654,Graniteville,VT,44.14072,-72.47675
2121,5655,Hyde Park,VT,44.61093,-72.59971
2122,5656,Johnson,VT,44.64522,-72.67941
2123,5657,Lake Elmore,VT,44.54142,-72.52693
2124,5658,Marshfield,VT,44.35382,-72.34925
2125,5660,Moretown,VT,44.2482,-72.78525
2126,5661,Morrisville,VT,44.54939,-72.60332
2127,5662,Moscow,VT,44.442,-72.71876
2128,5663,Northfield,VT,44.14106,-72.66443
2129,5664,Northfield Falls,VT,44.17124,-72.64976
2130,5665,North Hyde Park,VT,44.67307,-72.59706
2131,5666,North Montpelier,VT,44.33865,-72.44382
2132,5667,Plainfield,VT,44.29558,-72.42365
2133,5669,Roxbury,VT,44.06231,-72.74364
2134,5670,South Barre,VT,44.17574,-72.50247
2135,5671,Waterbury,VT,44.25952,-72.58502
2136,5672,Stowe,VT,44.47539,-72.70225
2137,5673,Waitsfield,VT,44.1847,-72.8367
2138,5674,Warren,VT,44.10692,-72.85816
2139,5675,Washington,VT,44.08346,-72.422
2140,5676,Waterbury,VT,44.34849,-72.77081
2141,5677,Waterbury Center,VT,44.37514,-72.71362
2142,5678,Websterville,VT,44.15898,-72.46942
2143,5679,Williamstown,VT,44.10979,-72.54155
2144,5680,Wolcott,VT,44.55106,-72.4739
2145,5681,Woodbury,VT,44.45748,-72.40659
2146,5682,Worcester,VT,44.38356,-72.55088
